URL,Category,Type of ad,Reference,Make,Model,Status,Power,Front Tire Dimension,Front Tire Wear,Rear Tire Wear,Spare Parts Availability,Price (excl. VAT),Displayed Price,Reference Price,Reference Currency,VAT Info,Dealer,Location,Phone Number,Comments
https://www.agriaffaires.co.uk/used/farm-tractor/44880229/fordson-major-super-major.html,Farm Tractors,For sale / Offers,28095,Fordson Major,SUPER MAJOR,Used - Not indicated,0,,N/A,N/A,N/A,," $ ex-VAT",3495,USD,ex-VAT,Lulich Implement Inc.,mark LULICH,318d6cf9034ee021b8c7398979b16ebMDAxNzE1NzQ2MjQ3Nw==,
https://www.agriaffaires.co.uk/used/farm-tractor/42881320/fordson-major-dexta.html,Farm Tractors,For sale / Offers,94590,Fordson Major,Dexta,Used - very good condition,0,12.4/28,N/A,N/A,N/A,,"  ",,,,PARRIS TRACTORS,"Mr.
                Richard PARRIS",e6b399963846339270cfe4ebcf10be9MDE4MjMyNTM4MDg=,
https://www.agriaffaires.co.uk/used/farm-tractor/45081447/fordson-major-super-major.html,Farm Tractors,For sale / Offers,15109z,Fordson Major,SUPER MAJOR,Used - good condition,,,N/A,N/A,N/A,,"  ",,,,Graham Holland LTD,"Mr.
                Frank Holland",50c9d2da210b77e08eb6981e8c6bb12KCs0NCkgMDE5MzU4NDEzMDc=,
https://www.agriaffaires.co.uk/used/farm-tractor/43932368/fordson-major-major-ddn.html,Farm Tractors,For sale / Offers,B124,Fordson Major,Major DDN,Used - Not indicated,,,N/A,N/A,N/A,," € ex-VAT",1800,EUR,ex-VAT,BA.GI. SRL,"Mr.
                GIANBATTISTA CAMPOSTRINI",b64d7299391f5262827eeef04d1b350KCszOSkgMzQ4NjYwMTgwMQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/45084838/fordson-major-dexta.html,Farm Tractors,For sale / Offers,20192,Fordson Major,Dexta,Used - good condition,,,N/A,N/A,N/A,,"  ",,,,Graham Holland LTD,"Mr.
                Frank Holland",50c9d2da210b77e08eb6981e8c6bb12KCs0NCkgMDE5MzU4NDEzMDc=,
https://www.agriaffaires.co.uk/used/farm-tractor/44158741/fordson-major-n-model.html,Farm Tractors,For sale / Offers,8919103A,Fordson Major,N model,Used - Not indicated,,,N/A,N/A,N/A,," DKK ex-VAT",34800,DKK,ex-VAT,Lintrup Maskinhandel,"Mr.
                Att: Frederik Møller Jensen Lintrup Maskinhandel",6d16f3c3d32ac59b1573ba4bb76e342KCs0NSkgNDA3ODUyOTY=,
https://www.agriaffaires.co.uk/used/farm-tractor/45182593/fordson-major-super-major.html,Farm Tractors,For sale / Offers,18677,Fordson Major,SUPER MAJOR,Used - good condition,,,N/A,N/A,N/A,,"2,500 £ ex-VAT",2500,GBP,ex-VAT,Graham Holland LTD,"Mr.
                Frank Holland",50c9d2da210b77e08eb6981e8c6bb12KCs0NCkgMDE5MzU4NDEzMDc=,
https://www.agriaffaires.co.uk/used/farm-tractor/45143746/fordson-major-super-major.html,Farm Tractors,For sale / Offers,FORDSON SUPER MAJOR,Fordson Major,SUPER MAJOR,Used - very good condition,,,65%,60%,N/A,,"4,500 £ ex-VAT",4500,GBP,ex-VAT,Mcphersonagri,"Mr.
                Stephen McPherson",5bd47d359dc984d21957d213f80683bKCs0NCkgMDEzODc3ODA2NTY=,
https://www.agriaffaires.co.uk/used/farm-tractor/44022682/fordson-major-major-ddn.html,Farm Tractors,For sale / Offers,B123,Fordson Major,Major DDN,Used - Not indicated,,,N/A,N/A,N/A,," € ex-VAT",1800,EUR,ex-VAT,BA.GI. SRL,"Mr.
                GIANBATTISTA CAMPOSTRINI",b64d7299391f5262827eeef04d1b350KCszOSkgMzQ4NjYwMTgwMQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/44158742/fordson-major-major-diesel-traktor.html,Farm Tractors,For sale / Offers,,Fordson Major,Major Diesel traktor,Used - Not indicated,,6*19 og 11-36,N/A,N/A,N/A,," DKK ex-VAT",19800,DKK,ex-VAT,Lintrup Maskinhandel,"Mr.
                Att: Frederik Møller Jensen Lintrup Maskinhandel",6d16f3c3d32ac59b1573ba4bb76e342KCs0NSkgNDA3ODUyOTY=,
https://www.agriaffaires.co.uk/used/farm-tractor/44698339/fordson-major-super-major-med-truckt-rn.html,Farm Tractors,For sale / Offers,8709034A,Fordson Major,Super Major Med trucktårn,Used - Not indicated,60,"16,9-30 i bag og 7,50-16 i for",50%,40%,N/A,," DKK ex-VAT",14800,DKK,ex-VAT,Lintrup Maskinhandel,"Mr.
                Att: Frederik Møller Jensen Lintrup Maskinhandel",6d16f3c3d32ac59b1573ba4bb76e342KCs0NSkgNDA3ODUyOTY=,
https://www.agriaffaires.co.uk/used/farm-tractor/45008494/fordson-major-major-billig-diesel-traktor-med-frontl-sser.html,Farm Tractors,For sale / Offers,8709074B,Fordson Major,Major Billig diesel Traktor med frontlæsser,Used - Not indicated,,12.4-36 bagdæk og 6.0 - 19 i for,50%,60%,N/A,," DKK ex-VAT",12500,DKK,ex-VAT,Lintrup Maskinhandel,"Mr.
                Att: Frederik Møller Jensen Lintrup Maskinhandel",6d16f3c3d32ac59b1573ba4bb76e342KCs0NSkgNDA3ODUyOTY=,
